41 East 11th Street	New York	NY
95 Morton Street	New York	NY
325 East 14th Street	New York	NY
3 Greenwich Ave	New York	NY
166 William Street	New York	NY
118 Mercer Street	New York	NY
205 West 50th Street	New York	NY
1751 2nd Avenue	New York	NY
161 West 54th Street	New York	NY
409 Grand Street	New York	NY
131 Rivington St.	New York	NY
502 Henry Street	Brooklyn	NY
227 Smith St	Brooklyn	NY
533 9th Avenue	New York	NY
1268 2nd Avenue	New York	NY
203 1st Ave	New York	NY
666 5th Avenue	New York	NY
16 Pell Street	New York	NY
225 Park Row	New York	NY
411 Park Avenue South	New York	NY
15 John Street	New York	NY
93 2nd Avenue	New York	NY
47 E Houston St	New York	NY
4279 Webster Avenue	Bronx	NY
144 East 7th St	New York	NY
106 Court Street	Brooklyn	NY
267 7th Avenue	Brooklyn	NY
2740 Barnes Avenue	Bronx	NY
610 E. 186th Street	Bronx	NY
310 East Kingsbridge Road	Bronx	NY
155 East 173rd Street	Bronx	NY
78 West 168th Street	Bronx	NY
910 Morris Avenue	Bronx	NY
985 Morris Park Avenue	Bronx	NY
610 East 169th Street	Bronx	NY
285 East 205th Street	Bronx	NY
321 East 140th Street	Bronx	NY
1985 Westchester Avenue	Bronx	NY
1701 Martin Luther King Jr Blvd	Bronx	NY
1866 Washington Avenue	Bronx	NY
761 East 160th Street	Bronx	NY
742 10th Avenue	New York	NY
40 Lincoln Center Plaza	New York	NY
312 Beach 54 Street	Arverne	NY
25-55 Francis Lewis Boulevard	Flushing	NY
117-11 Sutphin Boulevard	Jamaica	NY
18-36 Bell Boulevard	Bayside	NY
214-20 Northern Boulevard	Bayside	NY
250-06 Hillside Avenue	Bellerose	NY
85-12 Main Street	Briarwood	NY
16-26 Cross Bay Boulevard	Broad Channel	NY
218-13 Linden Boulevard	Cambria Heights	NY
249-01 Northern Boulevard	Little Neck	NY
196-36 Northern Boulevard	Flushing	NY
86-01 Broadway	Elmhurst	NY
1637 Central Avenue	Far Rockaway	NY
41-17 Main Street	Flushing	NY
108-19 71 Avenue	Forest Hills	NY
193-20 Horace Harding Expressway	Fresh Meadows	NY
78-60 73 Place	Glendale	NY
187-05 Union Turnpike	Flushing	NY
202-05 Hillside Avenue	Hollis	NY
92-06 156 Avenue	Howard Beach	NY
72-33 Vleigh Place	Flushing	NY
134-26 225 Street	Laurelton	NY
103-34 Lefferts Boulevard	Richmond Hill	NY
98-30 57 Avenue	Corona	NY
69-70 Grand Avenue	Maspeth	NY
155-06 Roosevelt Avenue	Flushing	NY
72-31 Metropolitan Avenue	Middle Village	NY
29-42 Union Street	Flushing	NY
98-27 Metropolitan Avenue	Forest Hills	NY
57-04 Marathon Parkway	Little Neck	NY
1 Penn Plaza	New York	NY
370 7th Avenue	New York	NY
450 W. 33rd Street	New York	NY
424 Park Avenue South	New York	NY
261 Fifth Avenue	New York	NY
395 Third Avenue	New York	NY
776 Avenue of the Americas	New York	NY
2855 Broadway	New York	NY
750 6th Avenue	New York	NY
304 Park Avenue South	New York	NY
2929 Broadway	New York	NY
300 W 23rd St	New York	NY
296-300 Third Avenue	New York	NY
684 Avenue of the Americas	New York	NY
177 Eighth Avenue	New York	NY
41 Union Square West	New York	NY
77-83 West 125th Street	New York	NY
124 Eighth Avenue	New York	NY
286A First Avenue	New York	NY
169 Tillary St	Brooklyn	NY
208 Varick Street	New York	NY
LaGuardia	Flushing	NY
JFK	Jamaica	NY
599 E Tremont Ave	Bronx	NY
2505 Southern Blvd	Bronx	NY
372 E Fordham Rd	Bronx	NY
36 W Fordham Rd	Bronx	NY
875 Garrison Ave	Bronx	NY
701 Utica Ave	Brooklyn	NY
5707-13 Church Ave	Brooklyn	NY
2797 Linden Blvd	Brooklyn	NY
1133 Eastern Parkway	Brooklyn	NY
Atlantic Terminal	Brooklyn	NY
3525 Fort Hamilton Parkway	Brooklyn	NY
1656 Utica Ave	Brooklyn	NY
2240-50 Flatbush Ave.	Brooklyn	NY
2028 Rockaway Parkway	Brooklyn	NY
136-61 Roosevelt Ave	Flushing	NY
166-01 Baisley Boulevard	Jamaica	NY
33-80 Queens Blvd	Long Island City	NY
69-35 Grand Ave	Maspeth	NY
451 Lexington Avenue	New York	NY
966 1st Avenue	New York	NY
3794 Broadway	New York	NY
1815 Forest Ave	Staten Island	NY
133 Greene Street	New York	NY
264 West 35th Street	New York	NY
92-24 Rockaway Boulevard	Ozone Park	NY
92-25 Rockaway Beach Boulevard	Rockaway Beach	NY
158-21 Jewel Avenue	Flushing	NY
121-23 14 Avenue	College Point	NY
94-11 217 Street	Queens Village	NY
60-05 Main Street	Flushing	NY
91-41 63 Drive	Rego Park	NY
118-14 Hillside Avenue	Richmond Hill	NY
20-12 Madison Street	Ridgewood	NY
169-09 137 Avenue	Jamaica	NY
144-20 243 Street	Rosedale	NY
116-15 Rockaway Beach Boulevard	Rockaway Park	NY
204-01 Hollis Avenue	South Hollis	NY
216-07 LINDEN BLVD	Cambria Heights	NY
32-55 31ST STREET	Long Island City	NY
22 50 31ST ST	Astoria	NY
31-46 21ST ST	Long Island City	NY
101-102 Queens Boulevard	Elmhurst	NY
51-06 Northern Blvd	Woodside	NY
31-44 Steinway Street	Astoria	NY
3711 35th Avenue	Astoria	NY
7000 Austin Street	Forest Hills	NY
8989 Union Turnpike	Glendale	NY
107-12 Continental Avenue	Flushing	NY
22-04 31st Avenue	Astoria	NY
41-02 Main Street	Flushing	NY
803 Forest Ave	Staten Island	NY
3267 Richmond Ave	Staten Island	NY
501 Bay St	Staten Island	NY
2795 Richmond Ave	Staten Island	NY
2505 Richmond Avenue	Staten Island	NY
2530 Hylan Boulevard	Staten Island	NY
2070 Victory Blvd	Staten Island	NY
150 L Greaves Lane	Staten Island	NY
1652 Richmond Ave	Staten Island	NY
1351 Forest Ave	Staten Island	NY
11 Broadway	New York	NY
17 State Street	New York	NY
159 West 25th Street	New York	NY
1466 Broadway	New York	NY
7 West 31St Street	New York	NY
875 3rd Avenue	New York	NY
Broadway & Prince	New York	NY
4 West 49th Street	New York	NY
25 Union Square	New York	NY
217 E 43rd St	New York	NY
216 West 76th Street	New York	NY
80 Lafayette Street	New York	NY
West 57th Street & 9th Avenue	New York	NY
786 9th Avenue	New York	NY
473 Amsterdam Avenue	New York	NY
1625 Broadway	New York	NY
11 E 55th Street	New York	NY
10 Columbus Circle	New York	NY
461 Park Avenue South	New York	NY
550 Second Avenue	New York	NY
100 Broadway	New York	NY
680 Fifth Avenue	New York	NY
62 W 39th Street	New York	NY
4710 Broadway	New York	NY
1450 Broadway	New York	NY
545 Broadway	New York	NY
49 Broadway	New York	NY
